track_name,track_artist,mood,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,track_popularity
Runaway,Bon Jovi,hype,72,0.899,152.445,0.475,-4.321,0.14,0.603,0.0637,1.91e-05,0,9,230667,0.00375,72
Basket Case,Green Day,happy,80,0.943,85.064,0.442,-3.205,0.091,0.781,0.0602,8.71e-06,1,3,181533,0.00293,80
Under the Bridge,Red Hot Chili Peppers,other,82,0.345,84.581,0.559,-13.496,0.141,0.458,0.0459,0.000105,1,4,264307,0.0576,82
White Wedding - Pt. 1,Billy Idol,happy,70,0.814,147.193,0.673,-5.411,0.343,0.728,0.0367,0.00293,1,9,252200,0.0134,70
You Shook Me All Night Long,AC/DC,happy,81,0.767,127.361,0.532,-5.509,0.39,0.755,0.0574,0.000513,1,7,210173,0.00287,81
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,happy,76,0.863,136.302,0.723,-7.89,0.128,0.931,0.0338,0.0317,1,2,222813,0.0383,76
Starman - 2012 Remaster,David Bowie,romantic,76,0.449,100.456,0.486,-10.298,0.54,0.549,0.0267,2.23e-06,1,5,254293,0.166,76
Whole Lotta Love - 1990 Remaster,Led Zeppelin,other,72,0.902,89.74,0.412,-11.6,0.405,0.422,0.405,0.131,1,9,333893,0.0484,72
Riders on the Storm,The Doors,happy,70,0.722,103.886,0.55,-11.729,0.11,0.716,0.0283,0.0129,0,11,434720,0.25,70
Even Flow,Pearl Jam,other,77,0.944,105.338,0.394,-6.506,0.298,0.265,0.0761,4.54e-06,0,10,292581,0.00178,77
Born in the U.S.A.,Bruce Springsteen,other,72,0.952,122.093,0.398,-6.042,0.1,0.584,0.061,7.75e-05,1,4,278680,0.000373,72
Bitter Sweet Symphony - Remastered 2016,The Verve,other,79,0.917,171.176,0.356,-6.006,0.406,0.518,0.0479,0.0,1,9,357267,0.0335,79
Don't Cry (Original),Guns N' Roses,other,75,0.589,124.634,0.455,-8.64,0.104,0.254,0.0328,0.00358,1,11,283733,0.00184,75
All Along the Watchtower,Jimi Hendrix,other,72,0.805,113.253,0.438,-6.237,0.0842,0.564,0.0624,5.69e-05,1,8,240800,0.00255,72
In The Air Tonight - 2015 Remastered,Phil Collins,sad,76,0.239,189.507,0.446,-13.945,0.0697,0.298,0.0316,4.1e-06,1,0,336453,0.551,76
Psycho Killer - 2005 Remaster,Talking Heads,other,76,0.521,123.118,0.721,-8.123,0.127,0.942,0.0613,0.00545,1,2,261413,0.0708,76
Are You Gonna Go My Way,Lenny Kravitz,happy,71,0.67,129.269,0.619,-10.322,0.331,0.777,0.0353,0.0109,0,11,211933,0.00165,71
Master of Puppets (Remastered),Metallica,other,70,0.828,105.25,0.539,-9.108,0.154,0.562,0.035,0.421,0,4,515387,0.00067,70
Everywhere - 2017 Remaster,Fleetwood Mac,romantic,79,0.487,114.965,0.73,-10.991,0.0852,0.731,0.0303,0.01,1,4,226653,0.258,79
Have You Ever Seen The Rain,Creedence Clearwater Revival,happy,84,0.697,116.109,0.741,-7.028,0.133,0.774,0.0277,2.28e-05,1,0,160133,0.0664,84
Just What I Needed,The Cars,happy,69,0.579,127.215,0.62,-9.307,0.0858,0.691,0.0473,6.4e-05,1,4,225627,0.0152,69
Smells Like Teen Spirit,Nirvana,happy,76,0.912,116.761,0.502,-4.556,0.106,0.72,0.0564,0.000173,1,1,301920,2.55e-05,76
Killing In The Name,Rage Against The Machine,happy,78,0.833,88.785,0.466,-4.215,0.0327,0.661,0.304,0.0,1,7,313573,0.0266,78
Come Together - Remastered 2009,The Beatles,sad,75,0.376,164.775,0.53,-11.913,0.0926,0.188,0.04,0.247,0,9,259947,0.0304,75
Carry on Wayward Son,Kansas,happy,73,0.786,126.755,0.482,-5.735,0.446,0.793,0.032,8.88e-05,1,7,323000,0.00321,73
Song 2 - 2012 Remaster,Blur,happy,78,0.789,129.802,0.674,-6.903,0.0753,0.918,0.0676,0.00708,1,8,121160,0.00178,78
Where Is My Mind? - 2007 Remaster,Pixies,sad,76,0.441,81.334,0.519,-14.178,0.076,0.25,0.0353,0.000453,1,4,234973,0.0204,76
Should I Stay or Should I Go - Remastered,The Clash,happy,80,0.836,113.375,0.743,-6.465,0.384,0.82,0.116,0.0,1,2,188987,0.0804,80
Another One Bites The Dust - Remastered 2011,Queen,other,71,0.528,109.975,0.932,-6.472,0.163,0.757,0.161,0.329,0,5,214653,0.115,71
Uprising,Muse,hype,75,0.905,128.019,0.602,-4.046,0.117,0.411,0.0775,0.064,1,2,304840,0.000202,75
For What It's Worth,Buffalo Springfield,other,76,0.519,98.883,0.653,-10.164,0.101,0.822,0.0497,0.0209,1,2,153693,0.406,76
You Really Got Me - 2015 Remaster,Van Halen,hype,68,0.946,138.18,0.454,-5.978,0.173,0.647,0.13,0.0,0,1,156147,0.0223,68
Black Hole Sun,Soundgarden,other,76,0.828,105.435,0.35,-5.373,0.0774,0.147,0.041,0.000161,1,6,318587,0.000217,76
Black Magic Woman - Single Version,Santana,chill,70,0.349,124.348,0.489,-14.295,0.0866,0.622,0.0323,0.0789,0,2,196467,0.676,70
Fly Away,Lenny Kravitz,happy,73,0.872,159.925,0.587,-5.066,0.622,0.735,0.0484,0.0,1,7,221333,0.018,73
Message In A Bottle,The Police,happy,75,0.808,151.008,0.577,-7.04,0.221,0.869,0.039,1.33e-05,0,1,290280,0.0338,75
Heroes - 2017 Remaster,David Bowie,other,72,0.758,112.113,0.489,-6.491,0.092,0.435,0.0297,0.49,1,7,371413,0.000678,72
Immigrant Song - Remaster,Led Zeppelin,other,75,0.932,112.937,0.564,-10.068,0.349,0.619,0.0554,0.169,1,11,146250,0.013,75
Mr. Blue Sky,Electric Light Orchestra,other,76,0.338,177.765,0.388,-10.054,0.248,0.478,0.0329,3.73e-06,1,10,303373,0.652,76
Back In Black,AC/DC,happy,83,0.7,188.386,0.31,-5.678,0.0828,0.763,0.047,0.00965,1,9,255493,0.011,83
Barracuda,Heart,happy,74,0.691,137.145,0.548,-13.553,0.144,0.667,0.0369,0.106,0,4,261933,0.015,74
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,other,79,0.532,136.576,0.601,-9.119,0.0925,0.342,0.0286,5.95e-06,1,10,281613,0.433,79
Heart-Shaped Box,Nirvana,other,79,0.641,203.006,0.256,-10.283,0.0853,0.382,0.0552,0.0329,1,1,281160,0.199,79
Life in the Fast Lane - 2013 Remaster,Eagles,happy,68,0.755,109.535,0.667,-7.246,0.0523,0.883,0.069,6.94e-05,1,9,286220,0.0966,68
Africa,TOTO,romantic,83,0.373,92.718,0.671,-18.064,0.0481,0.732,0.0323,8.01e-05,1,9,295893,0.257,83
(Don't Fear) The Reaper,Blue Öyster Cult,other,75,0.927,141.466,0.333,-8.55,0.297,0.385,0.0733,0.000208,0,9,308120,0.0029,75
1979 - Remastered 2012,The Smashing Pumpkins,happy,77,0.787,126.879,0.767,-9.897,0.0513,0.964,0.0331,0.583,1,3,266200,0.0163,77
Comfortably Numb,Pink Floyd,sad,71,0.366,127.163,0.472,-12.595,0.0837,0.171,0.0286,0.312,0,11,382297,0.15,71
Black Dog - Remaster,Led Zeppelin,happy,69,0.864,81.394,0.437,-7.842,0.242,0.749,0.0904,0.0314,0,4,295387,0.396,69
No One Knows,Queens of the Stone Age,happy,69,0.584,170.411,0.509,-4.907,0.384,0.685,0.057,9.96e-05,1,0,278747,0.0368,69
Long Train Runnin',The Doobie Brothers,happy,69,0.912,117.399,0.575,-7.275,0.0562,0.843,0.0393,0.00211,0,7,207267,0.0916,69
Loser,Beck,happy,69,0.611,85.387,0.654,-10.45,0.405,0.786,0.119,0.000178,1,2,235000,0.0337,69
American Pie,Don McLean,other,74,0.482,138.453,0.529,-11.709,0.0842,0.492,0.0599,0.0,0,4,516893,0.7,74
Roxanne,The Police,happy,77,0.748,134.114,0.618,-8.905,0.0473,0.663,0.358,4.1e-06,1,0,191947,0.0384,77
My Sharona,The Knack,happy,69,0.7,147.245,0.586,-9.558,0.0318,0.897,0.0363,0.00125,1,0,295400,0.0589,69
Walk On the Wild Side,Lou Reed,other,74,0.318,104.522,0.575,-16.729,0.0934,0.385,0.109,0.000202,1,0,254173,0.683,74
The Boys Are Back In Town,Thin Lizzy,happy,70,0.706,80.823,0.445,-9.803,0.205,0.768,0.0461,0.000252,1,8,266720,0.234,70
Highway to Hell,AC/DC,angry,84,0.913,115.728,0.574,-4.793,0.156,0.423,0.133,0.00158,0,6,208400,0.061,84
Vienna,Billy Joel,other,79,0.495,124.936,0.532,-6.662,0.0754,0.308,0.0343,0.0,1,10,214240,0.659,79
Alive,Pearl Jam,other,73,0.875,75.009,0.284,-6.069,0.402,0.595,0.0422,0.000461,0,11,340907,0.00752,73
The Best,Tina Turner,happy,69,0.737,103.867,0.662,-9.54,0.119,0.744,0.0296,0.0191,1,0,329800,0.108,69
Give It Away,Red Hot Chili Peppers,happy,72,0.936,91.577,0.666,-9.919,0.153,0.776,0.0476,0.086,1,7,282907,0.00244,72
Good Riddance (Time of Your Life),Green Day,romantic,79,0.432,94.605,0.475,-7.844,0.161,0.648,0.0302,0.0,1,7,153467,0.183,79
The Boys Of Summer,Don Henley,other,73,0.549,176.941,0.516,-13.741,0.184,0.907,0.0373,0.00572,1,6,288733,0.501,73
Break on Through (To the Other Side),The Doors,happy,72,0.751,89.839,0.421,-9.584,0.17,0.789,0.0472,0.0,1,9,145867,0.2,72
Sabotage,Beastie Boys,other,71,0.938,168.131,0.324,-7.332,0.0961,0.543,0.102,0.0321,0,6,178440,0.032,71
Pour Some Sugar On Me - Remastered 2017,Def Leppard,other,72,0.953,84.989,0.267,-4.899,0.283,0.568,0.096,0.0,0,1,267307,0.00211,72
